Time,Temperature,Time_Error,Temperature_Error
0.2,11.2,0.01,5
0.4,10.8,0.01,5
0.6,10.2,0.01,5
0.8,9.6,0.01,5
1.0,9.0,0.01,5
1.2,8.4,0.01,5
1.4,8.2,0.01,5
1.6,7.6,0.01,5
1.8,7.2,0.01,5
1.8,7.2,0.01,5
1.8,7.2,0.01,5
1.8,7.2,0.01,5
1.8,7.2,0.01,5
1.8,7.2,0.01,5
