Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2025-05-02,16:11:25.062244,1746195085.062244,s,4e-06,s,-1.9921875,mV,0.24287499487400055,V,161.4375,°C
2025-05-02,16:11:30.063120,1746195090.06312,s,5.00088,s,-2.0625,mV,0.24962499737739563,V,159.3000030517578,°C
2025-05-02,16:11:35.063207,1746195095.063207,s,10.000967,s,-2.1875,mV,0.26524999737739563,V,156.28750610351562,°C
2025-05-02,16:11:40.083139,1746195100.083139,s,15.020899,s,-2.3203125,mV,0.28450000286102295,V,153.2624969482422,°C
2025-05-02,16:11:45.064778,1746195105.064778,s,20.002538,s,-2.46875,mV,0.304874986410141,V,150.25,°C
2025-05-02,16:11:50.085804,1746195110.085804,s,25.023564,s,-2.609375,mV,0.32712501287460327,V,147.1875,°C
2025-05-02,16:11:55.066062,1746195115.066062,s,30.003822,s,-2.75,mV,0.35100001096725464,V,144.3249969482422,°C
2025-05-02,16:12:00.088616,1746195120.088616,s,35.026376,s,-2.890625,mV,0.3765000104904175,V,141.5124969482422,°C
2025-05-02,16:12:05.070833,1746195125.070833,s,40.008593,s,-3.0,mV,0.4037500023841858,V,138.77499389648438,°C
2025-05-02,16:12:10.093127,1746195130.093127,s,45.030887,s,-3.09375,mV,0.4339999854564667,V,136.125,°C
2025-05-02,16:12:15.090819,1746195135.090819,s,50.028579,s,-3.1640625,mV,0.4647499918937683,V,133.52499389648438,°C
2025-05-02,16:12:20.094389,1746195140.094389,s,55.032149,s,-3.203125,mV,0.4971249997615814,V,130.8874969482422,°C
2025-05-02,16:12:25.092092,1746195145.092092,s,60.029852,s,-3.1953125,mV,0.53125,V,128.4375,°C
2025-05-02,16:12:30.095950,1746195150.09595,s,65.03371,s,-3.140625,mV,0.5669999718666077,V,126.05000305175781,°C
2025-05-02,16:12:35.095726,1746195155.095726,s,70.033486,s,-3.03125,mV,0.6042500138282776,V,123.7125015258789,°C
2025-05-02,16:12:40.098709,1746195160.098709,s,75.036469,s,-2.84375,mV,0.6446250081062317,V,121.4375,°C
2025-05-02,16:12:45.097058,1746195165.097058,s,80.034818,s,-2.59375,mV,0.6850000023841858,V,119.2249984741211,°C
2025-05-02,16:12:50.099736,1746195170.099736,s,85.037496,s,-2.25,mV,0.7264999747276306,V,116.9625015258789,°C
2025-05-02,16:12:55.098264,1746195175.098264,s,90.036024,s,-1.8203125,mV,0.7692499756813049,V,114.8499984741211,°C
2025-05-02,16:13:00.100694,1746195180.100694,s,95.038454,s,-1.25,mV,0.8131250143051147,V,112.7874984741211,°C
2025-05-02,16:13:05.099606,1746195185.099606,s,100.037366,s,-0.59375,mV,0.8577499985694885,V,110.76249694824219,°C
2025-05-02,16:13:10.101972,1746195190.101972,s,105.039732,s,0.1640625,mV,0.9048749804496765,V,108.7874984741211,°C
2025-05-02,16:13:15.100710,1746195195.10071,s,110.03847,s,1.0546875,mV,0.950124979019165,V,106.8499984741211,°C
2025-05-02,16:13:20.103371,1746195200.103371,s,115.041131,s,2.0703125,mV,0.9951249957084656,V,104.88749694824219,°C
2025-05-02,16:13:25.102018,1746195205.102018,s,120.039778,s,3.1953125,mV,1.0394999980926514,V,103.0625,°C
2025-05-02,16:13:30.128713,1746195210.128713,s,125.066473,s,4.484375,mV,1.084625005722046,V,101.2750015258789,°C
2025-05-02,16:13:35.139267,1746195215.139267,s,130.077027,s,5.8046875,mV,1.1263749599456787,V,99.4749984741211,°C
2025-05-02,16:13:40.130085,1746195220.130085,s,135.067845,s,7.203125,mV,1.1663750410079956,V,97.80000305175781,°C
2025-05-02,16:13:45.141870,1746195225.14187,s,140.07963,s,8.7265625,mV,1.2043750286102295,V,96.17500305175781,°C
2025-05-02,16:13:50.131493,1746195230.131493,s,145.069253,s,10.2265625,mV,1.2401249408721924,V,94.5875015258789,°C
2025-05-02,16:13:55.150220,1746195235.15022,s,150.08798,s,11.75,mV,1.2748750448226929,V,93.05000305175781,°C
2025-05-02,16:14:00.143562,1746195240.143562,s,155.081322,s,13.28125,mV,1.3056249618530273,V,91.5625,°C
2025-05-02,16:14:05.155146,1746195245.155146,s,160.092906,s,14.8046875,mV,1.3338749408721924,V,90.05000305175781,°C
2025-05-02,16:14:10.145043,1746195250.145043,s,165.082803,s,16.3046875,mV,1.359624981880188,V,88.6624984741211,°C
2025-05-02,16:14:15.158999,1746195255.158999,s,170.096759,s,17.828125,mV,1.3830000162124634,V,87.30000305175781,°C
2025-05-02,16:14:20.145818,1746195260.145818,s,175.083578,s,19.2421875,mV,1.4040000438690186,V,85.9749984741211,°C
2025-05-02,16:14:25.162977,1746195265.162977,s,180.100737,s,20.609375,mV,1.4233750104904175,V,84.69999694824219,°C
2025-05-02,16:14:30.148389,1746195270.148389,s,185.086149,s,21.90625,mV,1.4398750066757202,V,83.4625015258789,°C
2025-05-02,16:14:35.186627,1746195275.186627,s,190.124387,s,23.140625,mV,1.4542499780654907,V,82.19999694824219,°C
2025-05-02,16:14:40.151578,1746195280.151578,s,195.089338,s,24.3125,mV,1.4668749570846558,V,81.0374984741211,°C
2025-05-02,16:14:45.187789,1746195285.187789,s,200.125549,s,25.46875,mV,1.4776250123977661,V,79.9124984741211,°C
2025-05-02,16:14:50.153851,1746195290.153851,s,205.091611,s,26.5,mV,1.486875057220459,V,78.8125,°C
2025-05-02,16:14:55.188952,1746195295.188952,s,210.126712,s,27.46875,mV,1.4950000047683716,V,77.73750305175781,°C
2025-05-02,16:15:00.156378,1746195300.156378,s,215.094138,s,28.375,mV,1.5015000104904175,V,76.7125015258789,°C
2025-05-02,16:15:05.190193,1746195305.190193,s,220.127953,s,29.21875,mV,1.5067499876022339,V,75.6624984741211,°C
2025-05-02,16:15:10.157579,1746195310.157579,s,225.095339,s,30.0,mV,1.5110000371932983,V,74.6875,°C
2025-05-02,16:15:15.192590,1746195315.19259,s,230.13035,s,30.765625,mV,1.5142500400543213,V,73.73750305175781,°C
2025-05-02,16:15:20.158817,1746195320.158817,s,235.096577,s,31.4375,mV,1.5166250467300415,V,72.82499694824219,°C
2025-05-02,16:15:25.201594,1746195325.201594,s,240.139354,s,32.0625,mV,1.518375039100647,V,71.9375,°C
2025-05-02,16:15:30.162305,1746195330.162305,s,245.100065,s,32.640625,mV,1.5192500352859497,V,71.07499694824219,°C
2025-05-02,16:15:35.203862,1746195335.203862,s,250.141622,s,33.1796875,mV,1.519624948501587,V,70.19999694824219,°C
2025-05-02,16:15:40.177762,1746195340.177762,s,255.115522,s,33.6796875,mV,1.519624948501587,V,69.38749694824219,°C
2025-05-02,16:15:45.205387,1746195345.205387,s,260.143147,s,34.15625,mV,1.5190000534057617,V,68.5875015258789,°C
2025-05-02,16:15:50.178982,1746195350.178982,s,265.116742,s,34.578125,mV,1.5180000066757202,V,67.82499694824219,°C
2025-05-02,16:15:55.206499,1746195355.206499,s,270.144259,s,34.96875,mV,1.5166250467300415,V,67.07499694824219,°C
2025-05-02,16:16:00.180556,1746195360.180556,s,275.118316,s,35.3359375,mV,1.515125036239624,V,66.3499984741211,°C
2025-05-02,16:16:05.210421,1746195365.210421,s,280.148181,s,35.6640625,mV,1.5132499933242798,V,65.61250305175781,°C
2025-05-02,16:16:10.183994,1746195370.183994,s,285.121754,s,35.984375,mV,1.5111249685287476,V,64.9375,°C
2025-05-02,16:16:15.213718,1746195375.213718,s,290.151478,s,36.28125,mV,1.5089999437332153,V,64.2750015258789,°C
2025-05-02,16:16:20.185251,1746195380.185251,s,295.123011,s,36.546875,mV,1.5066250562667847,V,63.625,°C
2025-05-02,16:16:25.214853,1746195385.214853,s,300.152613,s,36.796875,mV,1.503999948501587,V,63.0,°C
2025-05-02,16:16:30.186513,1746195390.186513,s,305.124273,s,37.03125,mV,1.5013749599456787,V,62.38750076293945,°C
2025-05-02,16:16:35.219619,1746195395.219619,s,310.157379,s,37.2421875,mV,1.4986250400543213,V,61.79999923706055,°C
2025-05-02,16:16:40.189910,1746195400.18991,s,315.12767,s,37.4375,mV,1.4958750009536743,V,61.20000076293945,°C
2025-05-02,16:16:45.220405,1746195405.220405,s,320.158165,s,37.625,mV,1.4930000305175781,V,60.63750076293945,°C
2025-05-02,16:16:50.191124,1746195410.191124,s,325.128884,s,37.8046875,mV,1.4902499914169312,V,60.099998474121094,°C
2025-05-02,16:16:55.221944,1746195415.221944,s,330.159704,s,37.96875,mV,1.487375020980835,V,59.57500076293945,°C
2025-05-02,16:17:00.194053,1746195420.194053,s,335.131813,s,38.1171875,mV,1.4842499494552612,V,59.0625,°C
2025-05-02,16:17:05.226119,1746195425.226119,s,340.163879,s,38.2578125,mV,1.4815000295639038,V,58.5625,°C
