Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-03-21,14:29:37.913310,1742563777.91331,s,21.291661,s,2864,
2025-03-21,14:29:38.164401,1742563778.164401,s,21.542752,s,2882,
2025-03-21,14:29:38.414152,1742563778.414152,s,21.792503,s,2884,
2025-03-21,14:29:38.665419,1742563778.665419,s,22.04377,s,2894,
2025-03-21,14:29:38.915163,1742563778.915163,s,22.293514,s,2901,
2025-03-21,14:29:39.166452,1742563779.166452,s,22.544803,s,2903,
2025-03-21,14:29:39.416874,1742563779.416874,s,22.795225,s,2912,
2025-03-21,14:29:39.667329,1742563779.667329,s,23.04568,s,2921,
2025-03-21,14:29:39.918099,1742563779.918099,s,23.29645,s,2931,
2025-03-21,14:29:40.168443,1742563780.168443,s,23.546794,s,2937,
2025-03-21,14:29:40.419318,1742563780.419318,s,23.797669,s,2948,
2025-03-21,14:29:40.669456,1742563780.669456,s,24.047807,s,2949,
2025-03-21,14:29:40.920378,1742563780.920378,s,24.298729,s,2952,
2025-03-21,14:29:41.170365,1742563781.170365,s,24.548716,s,2953,
2025-03-21,14:29:41.421467,1742563781.421467,s,24.799818,s,2959,
2025-03-21,14:29:41.671494,1742563781.671494,s,25.049845,s,2964,
2025-03-21,14:29:41.922605,1742563781.922605,s,25.300956,s,2983,
2025-03-21,14:29:42.172666,1742563782.172666,s,25.551017,s,2989,
2025-03-21,14:29:42.423605,1742563782.423605,s,25.801956,s,3004,
2025-03-21,14:29:42.673869,1742563782.673869,s,26.05222,s,3017,
2025-03-21,14:29:42.924723,1742563782.924723,s,26.303074,s,3030,
2025-03-21,14:29:43.174983,1742563783.174983,s,26.553334,s,3038,
2025-03-21,14:29:43.425649,1742563783.425649,s,26.804,s,3047,
2025-03-21,14:29:43.676161,1742563783.676161,s,27.054512,s,3061,
2025-03-21,14:29:43.926686,1742563783.926686,s,27.305037,s,3062,
2025-03-21,14:29:44.177259,1742563784.177259,s,27.55561,s,3082,
2025-03-21,14:29:44.427617,1742563784.427617,s,27.805968,s,3105,
2025-03-21,14:29:44.678527,1742563784.678527,s,28.056878,s,3118,
2025-03-21,14:29:44.928605,1742563784.928605,s,28.306956,s,3193,
2025-03-21,14:29:45.179404,1742563785.179404,s,28.557755,s,3634,
2025-03-21,14:29:45.429616,1742563785.429616,s,28.807967,s,4072,
2025-03-21,14:29:45.680447,1742563785.680447,s,29.058798,s,4662,
2025-03-21,14:29:45.930572,1742563785.930572,s,29.308923,s,5083,
2025-03-21,14:29:46.181511,1742563786.181511,s,29.559862,s,5583,
2025-03-21,14:29:46.431671,1742563786.431671,s,29.810022,s,5938,
2025-03-21,14:29:46.682567,1742563786.682567,s,30.060918,s,6366,
2025-03-21,14:29:46.932728,1742563786.932728,s,30.311079,s,6679,
2025-03-21,14:29:47.183430,1742563787.18343,s,30.561781,s,7070,
2025-03-21,14:29:47.433610,1742563787.43361,s,30.811961,s,7340,
2025-03-21,14:29:47.684434,1742563787.684434,s,31.062785,s,7682,
2025-03-21,14:29:47.934638,1742563787.934638,s,31.312989,s,7908,
2025-03-21,14:29:48.185346,1742563788.185346,s,31.563697,s,8209,
2025-03-21,14:29:48.435658,1742563788.435658,s,31.814009,s,8407,
2025-03-21,14:29:48.686394,1742563788.686394,s,32.064745,s,8663,
2025-03-21,14:29:48.936676,1742563788.936676,s,32.315027,s,8824,
2025-03-21,14:29:49.187337,1742563789.187337,s,32.565688,s,9043,
2025-03-21,14:29:49.437802,1742563789.437802,s,32.816153,s,9185,
2025-03-21,14:29:49.688315,1742563789.688315,s,33.066666,s,9364,
2025-03-21,14:29:49.938706,1742563789.938706,s,33.317057,s,9487,
2025-03-21,14:29:50.189327,1742563790.189327,s,33.567678,s,9650,
