#multi:
	Masse A		Masse B		
t	x	y	x	y	
1,617	-0,133	-8,738E-2	5,787E-2	-0,120
1,633	-0,134	-8,930E-2	5,947E-2	-0,123
1,650	-0,135	-9,129E-2	6,148E-2	-0,126
1,667	-0,136	-9,348E-2	6,359E-2	-0,129
1,683	-0,136	-9,530E-2	6,552E-2	-0,132
1,700	-0,137	-9,699E-2	6,711E-2	-0,135
1,717	-0,138	-9,899E-2	6,960E-2	-0,138
1,733	-0,139	-0,101	7,116E-2	-0,141
1,750	-0,139	-0,103	7,324E-2	-0,144
1,767	-0,140	-0,105	7,523E-2	-0,147
1,783	-0,141	-0,107	7,728E-2	-0,150
1,800	-0,142	-0,109	7,883E-2	-0,153
1,817	-0,143	-0,111	8,131E-2	-0,156
1,833	-0,143	-0,113	8,286E-2	-0,159
1,850	-0,144	-0,115	8,487E-2	-0,162
1,867	-0,145	-0,117	8,699E-2	-0,165
1,883	-0,146	-0,119	8,897E-2	-0,168
1,900	-0,147	-0,121	9,043E-2	-0,171
1,917	-0,147	-0,123	9,315E-2	-0,174
1,933	-0,148	-0,125	9,455E-2	-0,177
1,950	-0,149	-0,127	9,657E-2	-0,180
1,967	-0,150	-0,130	9,871E-2	-0,183
1,983	-0,151	-0,131	0,101	-0,186
2,000	-0,151	-0,133	0,102	-0,189
2,017	-0,152	-0,135	0,105	-0,192
2,033	-0,153	-0,137	0,106	-0,195
2,050	-0,154	-0,139	0,108	-0,198
2,067	-0,154	-0,141	0,110	-0,201
2,083	-0,155	-0,144	0,112	-0,203
2,100	-0,156	-0,145	0,114	-0,207
