distance(pixel),temperature(°C)
0.000000,30.316103
0.707107,30.316103
0.707107,30.327715
1.581139,30.327715
1.581139,29.986944
2.549510,29.986944
2.549510,30.183035
3.535534,30.183035
3.535534,30.254608
4.527693,30.254608
4.527693,29.806915
5.522681,29.806915
5.522681,29.784443
6.519202,29.784443
6.519202,29.974482
7.516648,29.974482
7.516648,29.522266
8.514693,29.522266
8.514693,29.825209
9.513149,29.825209
9.513149,29.536802
10.511898,29.536802
10.511898,29.979370
11.510864,29.979370
11.510864,29.631369
12.509996,29.631369
12.509996,29.824627
13.509256,29.824627
13.509256,29.666121
14.508618,29.666121
14.508618,29.310743
15.508062,29.310743
15.508062,29.526699
16.507574,29.526699
16.507574,29.600935
17.507141,29.600935
17.507141,29.246386
18.506756,29.246386
18.506756,29.676527
19.506409,29.676527
19.506409,29.581263
20.506097,29.581263
20.506097,29.603811
21.505813,29.603811
21.505813,29.212078
22.505555,29.212078
22.505555,29.660757
23.505319,29.660757
23.505319,29.497677
24.505102,29.497677
24.505102,29.360554
25.504901,29.360554
25.504901,29.127043
26.504717,29.127043
26.504717,29.137287
27.504545,29.137287
27.504545,29.294773
28.504386,29.294773
28.504386,28.837532
29.504237,28.837532
29.504237,29.268959
30.504098,29.268959
30.504098,29.156971
31.503968,29.156971
31.503968,29.311230
32.503846,29.311230
32.503846,28.804909
33.503731,28.804909
33.503731,29.491560
34.503623,29.491560
34.503623,29.017782
35.503521,29.017782
35.503521,28.879124
36.503424,28.879124
36.503424,29.042871
37.503333,29.042871
37.503333,29.074942
38.503247,29.074942
38.503247,28.691864
39.503164,28.691864
39.503164,28.906647
40.503086,28.906647
40.503086,29.107485
41.503012,29.107485
41.503012,28.476385
42.502941,28.476385
42.502941,28.569159
43.502873,28.569159
43.502873,28.651665
44.502809,28.651665
44.502809,28.780783
45.502747,28.780783
45.502747,28.553047
46.502688,28.553047
46.502688,29.191898
47.502632,29.191898
47.502632,28.251389
48.502577,28.251389
48.502577,28.089840
49.502525,28.089840
49.502525,28.256649
50.502475,28.256649
50.502475,28.194262
51.502427,28.194262
51.502427,27.938267
52.502381,27.938267
52.502381,28.137962
53.502336,28.137962
53.502336,28.103682
54.502294,28.103682
54.502294,27.681641
55.502252,27.681641
55.502252,27.636627
56.502212,27.636627
56.502212,27.872328
57.502174,27.872328
57.502174,27.891830
58.502137,27.891830
58.502137,27.736263
59.502101,27.736263
59.502101,28.070030
60.502066,28.070030
60.502066,27.990725
61.502032,27.990725
61.502032,27.611670
62.502000,27.611670
62.502000,27.814177
63.501968,27.814177
63.501968,27.465977
64.501938,27.465977
64.501938,27.315020
65.501908,27.315020
65.501908,27.255173
66.501880,27.255173
66.501880,27.415152
67.501852,27.415152
67.501852,27.515966
68.501825,27.515966
68.501825,27.508034
69.501799,27.508034
69.501799,27.048693
70.501773,27.048693
70.501773,27.228394
71.501748,27.228394
71.501748,27.081686
72.501724,27.081686
72.501724,27.209435
73.501701,27.209435
73.501701,26.865061
74.000000,26.865061
