Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2024-12-11,14:48:27.454252,1733924907.454252,s,19.791276,s,71.0,°C
2024-12-11,14:48:27.702063,1733924907.702063,s,20.039087,s,71.0,°C
2024-12-11,14:48:27.955309,1733924907.955309,s,20.292333,s,71.0,°C
2024-12-11,14:48:28.203087,1733924908.203087,s,20.540111,s,71.0,°C
2024-12-11,14:48:28.456364,1733924908.456364,s,20.793388,s,71.0,°C
2024-12-11,14:48:28.704057,1733924908.704057,s,21.041081,s,71.0,°C
2024-12-11,14:48:28.957606,1733924908.957606,s,21.29463,s,71.0,°C
2024-12-11,14:48:29.205216,1733924909.205216,s,21.54224,s,71.0,°C
2024-12-11,14:48:29.458711,1733924909.458711,s,21.795735,s,71.0,°C
2024-12-11,14:48:29.706405,1733924909.706405,s,22.043429,s,71.0,°C
2024-12-11,14:48:29.959841,1733924909.959841,s,22.296865,s,71.0,°C
2024-12-11,14:48:30.207640,1733924910.20764,s,22.544664,s,71.0,°C
2024-12-11,14:48:30.460953,1733924910.460953,s,22.797977,s,71.0,°C
2024-12-11,14:48:30.708518,1733924910.708518,s,23.045542,s,71.0,°C
2024-12-11,14:48:30.962002,1733924910.962002,s,23.299026,s,71.0,°C
2024-12-11,14:48:31.209456,1733924911.209456,s,23.54648,s,71.0,°C
2024-12-11,14:48:31.463094,1733924911.463094,s,23.800118,s,71.0,°C
2024-12-11,14:48:31.710295,1733924911.710295,s,24.047319,s,71.0,°C
2024-12-11,14:48:31.964037,1733924911.964037,s,24.301061,s,71.0,°C
2024-12-11,14:48:32.211467,1733924912.211467,s,24.548491,s,71.0,°C
2024-12-11,14:48:32.465083,1733924912.465083,s,24.802107,s,71.0,°C
2024-12-11,14:48:32.712232,1733924912.712232,s,25.049256,s,71.0,°C
2024-12-11,14:48:32.966065,1733924912.966065,s,25.303089,s,71.0,°C
2024-12-11,14:48:33.213020,1733924913.21302,s,25.550044,s,71.0,°C
2024-12-11,14:48:33.467137,1733924913.467137,s,25.804161,s,71.0,°C
2024-12-11,14:48:33.713976,1733924913.713976,s,26.051,s,71.0,°C
2024-12-11,14:48:33.968266,1733924913.968266,s,26.30529,s,71.0,°C
2024-12-11,14:48:34.215629,1733924914.215629,s,26.552653,s,71.0,°C
2024-12-11,14:48:34.469368,1733924914.469368,s,26.806392,s,71.0,°C
2024-12-11,14:48:34.717565,1733924914.717565,s,27.054589,s,71.0,°C
